order_transaction_id,order_transaction_type,order_transaction_date,original_sale_transaction_id,customer_id,return_type,shipped_date,delivered_date,pick_up_date,warehouse_received_date
#3304983,Sale,2024-01-27,#3304983,6146304442446,,2024-01-27,,2024-01-28,
#3304984,Sale,2024-01-27,#3304984,6640889528398,,2024-01-27,2024-01-31,,
#3304985,Sale,2024-01-27,#3304985,5283329933390,,2024-01-27,2024-01-30,,
#3304986,Sale,2024-01-27,#3304986,6640891035726,,2024-01-27,2024-01-30,,
#3304987,Sale,2024-01-27,#3304987,5785693126734,,2024-01-27,,,
#3304988,Sale,2024-01-27,#3304988,6640881860686,,2024-01-27,2024-02-01,,
#3304989,Sale,2024-01-27,#3304989,6640891887694,,2024-01-27,2024-01-31,,
#3304990,Sale,2024-01-27,#3304990,6640892051534,,2024-01-27,2024-01-31,,
#3304991,Sale,2024-01-27,#3304991,6608941252686,,2024-01-27,2024-01-31,,
#3304992,Sale,2024-01-28,#3304992,6635285708878,,2024-01-28,2024-01-30,,
#3304994,Sale,2024-01-28,#3304994,6640895492174,,2024-01-28,2024-02-01,,
#3304995,Sale,2024-01-28,#3304995,6640895590478,,2024-01-28,2024-02-02,,
#3304996,Sale,2024-01-29,#3304996,5187833921614,,2024-01-29,2024-02-02,,
#3304997,Sale,2024-01-29,#3304997,5868772622414,,2024-01-29,2024-02-08,,
#3304998,Sale,2024-01-29,#3304998,6640896278606,,2024-01-29,2024-02-03,,
#3304999,Sale,2024-01-29,#3304999,6640895983694,,2024-01-29,2024-01-31,,
#3305000,Sale,2024-01-29,#3305000,6640896835662,,2024-01-29,2024-02-02,,
#3305001,Sale,2024-01-29,#3305001,6440087879758,,2024-01-29,2024-02-03,,
#3305002,Sale,2024-01-29,#3305002,6640896704590,,2024-01-29,2024-02-03,,
#3305003,Sale,2024-01-29,#3305003,5913961201742,,2024-01-29,2024-02-01,,
#3305004,Sale,2024-01-29,#3305004,6640898768974,,2024-01-29,2024-02-02,,
#3305005,Sale,2024-01-29,#3305005,6640899031118,,2024-01-29,2024-02-02,,
