row_id,transaction_id,marketing_source,marketing_medium,marketing_campaign
1954,#3307611,(direct),(none),
1955,#3307614,google,organic,(organic)
1956,#3307619,google,(none),
1957,#3308654,instagram,instagram_organic,linkin.bio_shopurbanloom
1958,#3307632,Email,email,welcome flow email
1959,#3307635,facebook,cpc,fb_prospecting_urbanloom_all_2024
1960,#3307639,google,organic,(organic)
1961,#3307643,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
1962,#3307658,facebook,cpc,fb_ts_prospecting_dv24_campaign
1963,#3307665,Email,email,welcome flow email
1964,#3307667,(direct),(none),
1965,#3307676,Email,email,welcome flow email
1966,#3307677,facebook,cpc,fb_prospecting_lowest cost_new
1967,#3307694,(direct),(none),
1968,#3307702,facebook,cpc,fb_prospecting_urbanloom_all_2024
1969,#3307704,Email,email,welcome flow email
1970,#3307712,facebook,cpc,fb_prospecting_urbanloom_all
1971,#3307715,facebook,cpc,fb_prospecting_consolidated_lowest cost
1972,#3307724,google,organic,(organic)
1973,#3307728,facebook,cpc,fb_prospecting_urbanloom_all_2024
1974,#3307733,google,organic,(organic)
1975,#3307744,(direct),(none),
1976,#3307746,facebook,cpc,fb_prospecting_urbanloom_all_2024
1977,#3307748,facebook,cpc,fb_prospecting_urbanloom_all_2024
1978,#3307749,(direct),(none),
1979,#3307750,facebook,cpc,fb_prospecting_consolidated_simplifiedsales
1980,#3307757,google,organic,(organic)
1981,#3307763,facebook,cpc,fb_prospecting_urbanloom_all_2024
1982,#3307765,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
1983,#3310127,instagram,instagram_organic,linkin.bio_shopurbanloom
1984,#3307781,facebook,cpc,fb_ts_prospecting_dv24_campaign
1985,#3307782,facebook,cpc,fb_ts_prospecting_dv24_campaign
1986,#3307789,(direct),(none),
1987,#3307791,(direct),(none),
1988,#3307798,(direct),(none),
1989,#3307803,google,organic,(organic)
1990,#3307817,facebook,cpc,fb_ts_prospecting_dv24_campaign
1991,#3307820,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
1992,#3307839,(direct),(none),
1993,#3307853,google,cpc,nonbranded-generic_exact
1994,#3307856,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
1995,#3307873,(direct),(none),
1996,#3307874,(direct),(none),
1997,#3307879,Email,email,welcome flow email
1998,#3307884,google,(none),
1999,#3307890,(direct),(none),
2000,#3307892,partner,affiliate,honest brand reviews
2001,RET#3307624,instagram,instagram_organic,linkin.bio_shopurbanloom
2002,#3307902,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2003,#3307905,google,organic,(organic)
2004,#3307909,google,shopping,ww-shopping-branded
2005,#3307912,Email,email,welcome flow email
2006,#3307917,facebook,cpc,fb_prospecting_urbanloom_all_2024
2007,#3307921,facebook,cpc,fb_prospecting_urbanloom_all_2024
2008,#3307933,(direct),(none),
2009,#3307934,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2010,#3307624,instagram,instagram_organic,linkin.bio_shopurbanloom
2011,#3307960,google,shopping,ww-shopping-branded
2012,#3307961,(direct),(none),
2013,#3307962,facebook,cpc,fb_prospecting_urbanloom_all_2024
2014,#3307972,google,organic,(organic)
2015,RET#3307974,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2016,#3307974,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2017,#3307980,Email,email,welcome flow email
2018,#3307993,facebook,cpc,fb_prospecting_consolidated_lowest cost
2019,#3307997,google,organic,(organic)
2020,#3308000,Email,email,welcome flow email
2021,#3308002,(direct),(none),
2022,#3308006,google,(none),
2023,#3304808,instagram,instagram_organic,linkin.bio_shopurbanloom
2024,#3308024,facebook,cpc,fb_prospecting_urbanloom_all_2024
2025,#3308029,google,organic,(organic)
2026,#3308038,google,organic,(organic)
2027,#3308040,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2028,#3308047,google,cpc,nonbranded-generic_exact
2029,#3308049,facebook,cpc,fb_prospecting_urbanloom_all_2024
2030,#3308052,google,organic,(organic)
2031,#3308064,(direct),(none),
2032,#3308067,google,organic,(organic)
2033,#3308079,(direct),(none),
2034,#3308083,facebook,cpc,fb_ts_prospecting_dv24_campaign
2035,#3308086,(direct),(none),
2036,#3308090,(direct),(none),
2037,#3308096,Email,email,welcome flow email
2038,#3308584,instagram,instagram_organic,linkin.bio_shopurbanloom
2039,#3308108,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2040,#3308120,(direct),(none),
2041,#3308122,google,organic,(organic)
2042,#3308123,facebook,cpc,fb_ts_prospecting_dv24_campaign
2043,#3308132,partner,affiliate,honest brand reviews
2044,#3308135,google,cpc,nonbranded-generic_exact
2045,#3308144,facebook,cpc,fb_prospecting_urbanloom_all_2024
2046,#3308146,facebook,cpc,fb_prospecting_consolidated_lowest cost
2047,#3308150,facebook,cpc,fb_prospecting_urbanloom_all_2024
2048,#3308159,Email,email,welcome flow email
2049,#3308169,Email,email,welcome flow email
2050,#3308170,facebook,cpc,fb_ts_prospecting_dv24_campaign
2051,#3308173,bing,organic,(organic)
2052,#3308174,Email,email,welcome flow email
2053,#3308177,google,(none),
2054,#3308179,(direct),(none),
2055,#3308183,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2056,#3308207,l.facebook.com,referral,(referral)
2057,#3308208,google,organic,(organic)
2058,#3308210,google,organic,(organic)
2059,#3308213,(direct),(none),
2060,#3308225,(direct),(none),
2061,#3308232,(direct),(none),
2062,#3308239,bing,cpc,shopping - high value generic - high priority
2063,#3308261,facebook,cpc,fb_prospecting_urbanloom_all_2024
2064,#3308270,(direct),(none),
2065,#3308272,facebook,cpc,fb_ts_prospecting_dv24_campaign
2066,#3308296,Email,email,welcome flow email
2067,#3308307,tiktok,cpc,urbanloom_prospecting-purchase_all
2068,#3308308,google,(none),
2069,#3308316,Email,email,welcome flow email
2070,#3308319,(direct),(none),
2071,#3308323,facebook,cpc,fb_prospecting_urbanloom_all_2024
2072,#3308332,(direct),(none),
2073,#3308341,Email,email,welcome flow email
2074,#3308342,(direct),(none),
2075,#3308343,facebook,cpc,fb_ts_prospecting_dv24_campaign
2076,#3308351,google,organic,(organic)
2077,#3308363,facebook,cpc,fb_prospecting_consolidated_simplifiedsales
2078,#3308364,(direct),(none),
2079,#3308387,google,shopping,ww-shopping-branded
2080,#3308388,Email,email,welcome flow email
2081,#3308397,google,organic,(organic)
2082,#3308406,google,organic,(organic)
2083,#3309478,instagram,instagram_organic,linkin.bio_shopurbanloom
2084,#3308410,google,organic,(organic)
2085,RET#3308414,google,organic,(organic)
2086,#3308414,google,organic,(organic)
2087,#3308423,google,organic,(organic)
2088,#3309579,instagram,instagram_organic,linkin.bio_shopurbanloom
2089,#3308431,google,(none),
2090,#3308458,google,(none),
2091,#3308465,google,organic,(organic)
2092,#3308468,google,organic,(organic)
2093,#3308473,(direct),(none),
2094,#3308486,google,(none),
2095,#3308525,google,shopping,ww-shopping-branded
2096,#3308544,Email,email,welcome flow email
2097,#3308548,bing,cpc,ww - search - branded
2098,#3308560,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2099,#3308572,(direct),(none),
2100,#3310360,instagram,instagram_organic,linkin.bio_shopurbanloom
2101,#3308577,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
2102,#3308580,google,organic,(organic)
2103,#3308586,google,organic,(organic)
2104,#3308604,(direct),(none),
2105,#3308610,google,organic,(organic)
2106,#3308621,facebook,cpc,fb_ts_prospecting_dv24_campaign
2107,#3308623,google,organic,(organic)
2108,#3308630,google,organic,(organic)
2109,#3308645,google,organic,(organic)
2110,#3308653,google,organic,(organic)
2111,#3305109,instagram,instagram_organic,linkin.bio_shopurbanloom
2112,#3308660,l.facebook.com,referral,(referral)
2113,#3308661,facebook,cpc,fb_prospecting_urbanloom_all
2114,#3308668,(direct),(none),
2115,#3308671,(direct),(none),
2116,#3308676,google,organic,(organic)
2117,#3308677,(direct),(none),
2118,#3308678,google,organic,(organic)
2119,#3308680,(direct),(none),
2120,#3306792,instagram,instagram_organic,linkin.bio_shopurbanloom
